id,titulo,accion,comedia,drama,scifi,terror,romance,rating,es_serie
888,Ángeles de la noche urbano,1,1,1,0,0,0,5.5,0
889,Luz del imperio,0,0,0,0,0,0,9.7,1
890,El imperio del desierto sagrado,0,1,0,0,0,1,8.8,1
891,Crónicas de las estrellas,0,1,1,0,1,0,9.5,0
892,El secreto sagrado,1,1,1,0,0,1,7.8,0
893,La búsqueda de un extraño profundo,1,0,0,0,1,0,4.3,0
894,El secreto secreto,0,1,1,1,1,0,7.0,0
895,El misterio del océano mortal,1,0,1,1,0,1,4.7,0
896,La sombra de la libertad ancestral,0,1,1,0,0,0,3.2,0
897,El misterio del mañana,1,0,0,0,0,1,3.3,0
898,El precio de la verdad siniestro,1,0,1,1,0,0,6.4,0
899,La sombra del laberinto: Parte IV,0,1,0,1,1,0,3.9,1
900,Ecos profundo,0,1,1,0,0,0,3.0,0
901,El despertar ancestral,0,0,1,0,1,0,8.4,0
902,La búsqueda del dragón,0,0,0,0,0,0,4.0,0
903,El regreso del pasado: Parte I,0,1,0,0,0,0,3.3,0
904,Pacto del abismo vengador,0,0,1,0,0,0,7.6,0
905,El último del pasado,1,0,1,0,0,0,7.1,0
906,El secreto de la corona oscuro,0,1,0,0,0,0,5.2,1
907,Las voces siniestro,1,0,1,0,0,0,6.9,0
908,Operación del laberinto oscuro,0,0,1,0,0,1,6.2,0
909,Las voces ancestral,0,1,0,0,0,0,6.0,1
910,Lágrimas de la justicia final,0,1,0,0,0,0,4.5,0
911,Lágrimas inmortal,0,0,0,0,0,0,3.5,0
912,El despertar del olvido,1,1,1,1,0,0,4.7,1
913,La sombra del imperio secreto,0,1,1,1,0,1,6.6,0
914,El destino de cristal,0,0,1,1,0,0,5.8,1
915,El último del mañana,0,0,0,0,1,0,3.4,0
916,El regreso del océano,1,1,0,0,0,0,9.8,1
917,Ecos vengador,1,0,0,1,0,0,8.6,0
918,Camino del pasado eterno,1,1,0,0,0,0,3.3,0
919,Ecos de la verdad: Parte IV,0,1,1,1,0,0,7.0,1
920,Ángeles secreto,0,0,1,0,0,0,6.6,0
921,Las voces del laberinto: Parte IV,0,1,1,0,0,0,9.0,0
922,Lágrimas de la venganza: Parte I,0,1,1,0,0,1,9.8,0
923,Operación de las estrellas: Parte I,0,0,1,0,0,0,8.6,1
924,El despertar de un extraño invisible,0,1,0,0,0,1,7.1,1
925,Lágrimas del paraíso,0,1,1,1,0,0,8.5,1
926,La búsqueda de la selva: Parte I,0,1,1,0,0,1,3.8,1
927,El imperio del mañana: Parte I,1,1,1,0,0,0,6.9,1
928,El secreto del olvido fantasma,0,1,0,0,0,0,7.1,0
929,Pacto mortal,0,0,0,0,0,0,9.7,1
930,Ecos de la venganza: Parte I,1,0,0,0,0,0,4.8,1
931,Las voces del traidor: Parte I,1,0,1,0,1,0,7.4,0
932,La sombra del traidor,0,0,0,0,0,0,8.7,0
933,La búsqueda del imperio olvidado,1,0,1,0,0,0,7.5,0
934,El destino fantasma,0,0,1,0,0,1,3.1,1
935,El despertar del laberinto ancestral,0,0,1,0,0,1,9.7,0
936,El destino del desierto: Parte II,0,0,0,0,0,0,6.7,1
937,El código del laberinto: Parte I,0,0,1,1,0,0,6.8,0
938,El juicio de un extraño secreto,0,0,0,0,0,0,5.9,0
939,El secreto del imperio: Parte I,1,0,1,0,0,0,6.1,0
940,La búsqueda salvaje,1,0,1,0,0,0,6.0,1
941,El juicio siniestro,0,1,1,1,0,0,8.8,1
942,Camino de sangre perdido,0,1,0,1,0,0,6.6,0
943,El código imposible,0,1,1,0,1,0,5.7,1
944,El juicio vengador,0,1,0,0,0,0,7.8,0
945,Lágrimas del tiempo,0,0,1,0,0,0,6.8,1
946,La sombra del abismo olvidado,0,0,0,0,0,0,4.5,0
947,Ángeles de la verdad ancestral,1,0,1,0,1,0,6.6,1
948,El código del imperio mortal,0,0,0,0,0,1,7.7,1
949,Pacto del imperio supremo,0,0,0,0,0,0,7.0,1
950,El regreso de la libertad siniestro,0,1,0,0,0,0,3.4,1
951,Operación del héroe: Parte II,1,0,0,1,0,0,4.5,0
952,Operación del mañana,0,0,1,0,0,1,5.6,0
953,La leyenda de la corona urbano,0,1,0,0,0,1,9.5,0
954,Las voces de un extraño fantasma,0,1,1,0,0,0,5.0,1
955,Frontera perdido,0,0,1,0,0,1,8.3,0
956,El último absoluto,0,0,0,0,0,0,9.4,0
957,El juicio mortal,0,0,1,1,1,0,3.8,1
958,El código de la venganza siniestro,0,1,0,0,0,0,8.9,0
959,La búsqueda perdido,1,1,1,0,1,0,5.0,1
960,El destino del imperio ancestral,0,0,1,0,0,1,6.6,1
961,Pacto urbano,0,0,0,0,0,0,5.5,1
962,El último del traidor vengador,0,1,1,1,0,0,5.1,0
963,El regreso dorado,0,0,1,0,1,0,9.1,1
964,El despertar del océano: Parte II,1,0,1,0,1,0,9.7,0
965,Operación del infierno perdido,0,1,1,0,0,0,5.0,0
966,La leyenda de un extraño supremo,0,0,0,0,0,0,7.2,1
967,Ángeles del héroe: Parte II,0,0,1,1,0,0,7.2,1
968,La leyenda de la venganza mortal,0,0,0,1,0,1,4.2,1
969,La sombra del abismo: Parte IV,1,1,1,1,0,1,7.8,0
970,El precio del desierto absoluto,0,0,1,0,0,1,3.7,0
971,El último de la noche secreto,0,0,0,0,0,0,5.1,0
972,La rebelión del imperio: Parte III,1,0,1,0,0,0,3.2,1
973,El código del traidor: Parte I,1,0,0,0,0,0,3.0,0
974,Ecos del héroe,0,0,1,0,0,0,8.1,1
975,Crónicas del olvido,0,0,0,0,0,0,8.3,1
976,El precio de la libertad invisible,1,0,1,0,0,0,4.0,0
977,El último de un extraño,0,1,0,0,0,1,5.2,1
978,Luz de la justicia: Parte II,1,1,0,1,0,0,9.0,1
979,Frontera del infierno dorado,1,0,0,1,0,0,8.8,0
980,Ángeles inmortal,0,0,1,1,0,0,9.7,1
981,La búsqueda de cristal silencioso,1,0,1,0,0,0,4.9,1
982,El último del paraíso: Parte IV,0,1,0,1,0,0,4.6,1
983,El código del paraíso mortal,0,0,1,0,1,0,4.0,0
984,Frontera del olvido: Parte I,0,1,0,0,0,1,7.9,0
985,La rebelión del dragón mortal,0,1,0,0,0,0,3.1,1
986,El regreso de cristal,0,0,1,0,0,0,7.6,0
987,El destino del desierto: Parte IV,0,0,0,1,0,0,4.3,1
988,El último de la libertad: Parte IV,0,1,1,0,0,0,5.7,1
989,Ángeles del imperio sagrado,1,1,1,1,0,0,3.9,0
990,El código del laberinto,0,1,1,0,0,0,4.4,1
991,El regreso de la noche: Parte I,1,1,1,0,0,1,9.0,0
992,El juicio del paraíso: Parte III,0,1,0,1,1,1,4.2,1
993,El juicio del pasado,0,1,1,0,0,0,8.6,1
994,Ángeles del laberinto: Parte IV,1,1,1,1,0,0,3.7,1
995,El código del desierto,0,0,0,0,0,0,7.9,0
996,El precio de la corona: Parte I,0,0,1,0,1,0,6.6,0
997,Las voces del mañana sagrado,1,0,0,0,0,0,3.9,0
998,La leyenda de la justicia,0,0,1,1,0,0,6.1,1
999,El secreto de sangre profundo,0,1,1,0,0,0,5.3,0
1000,Frontera oculto,0,0,1,0,0,0,5.9,0
